# 출처 K카(kcar.com) 직영 매물 목록 API. 수집 2026-09-08 17:21 KST. 수집 968대 중 조건 통과 319대. 개인 검토용 비공식 분석, 상업적 이용 금지. total_cost/insurance_history/owner_changes/listed_date/warranty 는 상세 페이지가 robots.txt Disallow 라 미수집(null).
id,url,maker,model,model_group,full_name,trim,trim_series,year_month,year,model_year,km,price,total_cost,total_cost_est,fuel,fuel_raw,transmission,cc,body_type,category_raw,accident,insurance_history,owner_changes,options,location,listed_date,warranty,photo,use_tag,rent_reg,reg_type,group_key,group_n,group_median_price,group_median_km,price_gap,km_gap,group_note,score
EC61390551,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61390551,기아,스토닉,스토닉,기아 스토닉 1.4 가솔린 트렌디,1.4 가솔린 트렌디,1.4,2018-06,2018,2018,74845,960,,1030,가솔린,가솔린,오토,1368,SUV,SUV,단순수리,,,후방카메라|열선시트|스마트키|내비|크루즈,아산직영점 충남,,,https://img.kcar.com/3dcarpicture/2026/08/174/61390551_1/main/main780.jpg,,N,SELL,스토닉 2018±1 / 1.4 계열,19,1120,77185,0.1429,0.0303,트림계열 세분(가격 산포 큼),43.5
EC61370041,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61370041,현대,쏘나타 뉴 라이즈 하이브리드,쏘나타,현대 쏘나타 뉴 라이즈 하이브리드 스마트 ,스마트,스마트,2019-06,2019,2019,118138,1160,,1244,하이브리드,가솔린+전기,오토,1999,세단,중형차,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,울산직영점 경남,,,https://img.kcar.com/carpicture/carpicture07/pic6137/kcarM_61370041_045.jpg,영업용,N,SELL,쏘나타 뉴 라이즈 하이브리드 2019±1,3,1230,101700,0.0569,-0.1616,,43.5
EC61379674,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61379674,기아,더 뉴 K5 2세대,K5,기아 더 뉴 K5 2세대 2.0 럭셔리,2.0 럭셔리,2.0,2018-12,2018,2019,27751,1170,,1255,가솔린,가솔린,오토,1999,세단,중형차,무사고,,,열선시트,오산동탄직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture07/pic6137/kcarM_61379674_045.jpg,,N,SELL,더 뉴 K5 2세대 2018±1,14,1175.0,79514,0.0043,0.651,,43.1
EC61406767,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61406767,현대,더 뉴 아반떼 AD,아반떼,현대 더 뉴 아반떼 AD 1.6 스마트 초이스,1.6 스마트 초이스,1.6,2019-07,2019,2020,68044,1220,,1308,가솔린,가솔린,오토,1598,세단,준중형차,무사고,,,후방카메라|열선시트|스마트키|내비,분당용인직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61406767_045.jpg,,N,SELL,더 뉴 아반떼 AD 2019±1,20,1180.0,84434,-0.0339,0.1941,,42.9
EC61388579,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61388579,기아,니로,니로,기아 니로 프레스티지 ,프레스티지,프레스티지,2017-03,2017,2017,112744,1090,,1169,하이브리드,가솔린+전기,오토,1580,SUV,SUV,단순수리,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈|선루프,인천직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture08/pic6138/kcarM_61388579_045.jpg,영업용,N,SELL,니로 2017±1,14,1235.0,100974,0.1174,-0.1166,,42.6
EC61391236,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61391236,기아,니로,니로,기아 니로 럭셔리 ,럭셔리,럭셔리,2017-04,2017,2017,44343,1260,,1351,하이브리드,가솔린+전기,오토,1580,SUV,SUV,단순수리,,,후방카메라|열선시트|내비,울산직영점 경남,,,https://img.kcar.com/carpicture/carpicture09/pic6139/kcarM_61391236_045.jpg,영업용,N,SELL,니로 2017±1,14,1235.0,100974,-0.0202,0.5608,,42.5
EC61391233,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61391233,기아,니로,니로,기아 니로 럭셔리 ,럭셔리,럭셔리,2018-12,2018,2018,90549,1290,,1383,하이브리드,가솔린+전기,오토,1580,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비,부산직영점 경남,,,https://img.kcar.com/carpicture/carpicture09/pic6139/kcarM_61391233_045.jpg,영업용,N,SELL,니로 2018±1,15,1250,101442,-0.032,0.1074,,42.2
EC61402345,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61402345,기아,K5 2세대,K5,기아 K5 2세대 2.0 SX 럭셔리,2.0 SX 럭셔리,2.0,2017-07,2017,2018,58183,950,,1020,가솔린,가솔린,오토,1999,세단,중형차,단순수리,,,후방카메라|열선시트|내비|크루즈,안양직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61402345_045.jpg,,N,SELL,K5 2세대 2017±1,8,980.0,103084,0.0306,0.4356,,42.1
EC61408067,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61408067,현대,쏘나타 뉴 라이즈,쏘나타,현대 쏘나타 뉴 라이즈 2.0 스타일 ,2.0 스타일,2.0,2018-05,2018,2018,91038,1130,,1212,가솔린,가솔린,오토,1999,세단,중형차,무사고,,,후방카메라|열선시트|스마트키|내비,울산직영점 경남,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61408067_045.jpg,,N,SELL,쏘나타 뉴 라이즈 2018±1,28,1215.0,93053,0.07,0.0217,,41.9
EC61407618,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61407618,현대,싼타페 더 프라임,싼타페,현대 싼타페 더 프라임 디젤 2.0 4WD 프리미엄,디젤 2.0 4WD 프리미엄,디젤,2017-02,2017,2017,78551,1250,,1340,디젤,디젤,오토,1995,SUV,SUV,무사고,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,강서직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/09/014/61407618_1/main/main780.jpg,출퇴근용|영업용,N,SELL,싼타페 더 프라임 2017±1,9,1250,104400,0.0,0.2476,,41.5
